customer_first_name,customer_last_name,order_id,loyalty_level_name,loyalty_level,payment_method,payment_date,store_street_address,store_state,store_zipcode,store_phone,shipment_status,delivery_date,shipment_date,shipment_zipcode,payment_total,invoice_date,representative_phone,representative_email,representative_first_name,representative_last_name,supplier_name,supplier_start_date,supplier_location_state,supplier_location_street,department_name,product_type,product_quantity,unit_price,quantity_in_order,time_of_day,promotion_name,promotion_response,birth_year,Education,marital_status,Income,numberof_children,enrollment_date,Complain,Response,deals
Nicole,Hansen,24,Silver,2,venmo,6/5/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,6/9/2022,6/8/2022,33170,446,6/10/2022,506-956-0578,Mary.Frank@inbox.com,Mary,Frank,Beach View Farms,8/4/2014,WI,1670 Mar-El Road,Beverage,Wine,68942,15.69,24,Lunch,Campaign 1,0,1954,PhD,Married,65324,1,11/1/2014,0,0,3
Dorothy,Wardle,25,Bronze,3,credit card,4/19/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,4/23/2022,4/22/2022,90020,62,4/24/2022,683-062-9815,Frank.Livingston@outlook.com,Frank,Livingston,Glory Foods Supermarket,9/20/2014,IN,129 W 1800 S,Produce,Meats,69752,5.67,11,Drink,Campaign 3,1,1951,Graduation,Together,40689,1,18-03-2013,0,0,4
Aaron,Bergman,26,Bronze,3,credit card,7/8/2022,7930 SW 104th St,FL,33156,305-969-5800,Out For Delivery,NULL,7/11/2022,33170,459,7/13/2022,367-246-5176,Kay.Sandoval@outlook.com,Kay,Sandoval,All Seasons Orchard,10/7/2015,AR,5909 Elm Springs Road,Produce,Fruits,68931,8.99,28,Drink,Campaign 1,0,1969,Graduation,Single,18589,0,2/1/2013,0,0,2
Don,Jones,27,Bronze,3,venmo,1/7/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,1/11/2022,1/10/2022,90020,159,1/12/2022,640-589-4719,Erica.Stevens@yahoo.com,Erica,Stevens,A. H. Herb'n Craft Farm,7/26/2014,VA,37938 Charles Town Pike,Beverage,Wine,68942,15.69,29,Drink,Campaign 1,0,1976,Graduation,Married,53359,2,27-05-2013,0,0,1
Beth,Thompson,28,Bronze,3,credit card,1/9/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,1/13/2022,1/12/2022,90020,465,1/14/2022,289-479-3701,Austin.Sexton@yahoo.com,Austin,Sexton,J&W Farm,5/4/2015,MA,1150 West Street,Produce,Meats,69752,5.67,46,Snack,Campaign 4,0,1986,Graduation,Single,,1,20-02-2013,0,0,0
Frank,Price,29,Bronze,3,venmo,6/14/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,6/18/2022,6/17/2022,60625,65,6/19/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,RB Pop Up Farm Stand,7/17/2016,NY,3275 Cold Springs Road,Produce,Fruits,68931,8.99,21,Drink,Campaign 2,1,1989,Graduation,Married,38360,1,31-05-2013,0,0,2
Michelle,Lonsdale,30,Silver,2,credit card,1/6/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,1/10/2022,1/9/2022,10003,304,1/11/2022,405-437-1466,Brynne.Giles@gmail.com,Brynne,Giles,Fruit Ridge Hayrides LLC,4/4/2015,WA,1146 NE Madison Rd,Non Perishables,Sweet,68059,3.89,28,Dinner,Campaign 4,1,1965,PhD,Married,84618,0,22-11-2013,0,0,1
Ann,Chong,31,Silver,2,credit card,5/30/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,6/3/2022,6/2/2022,10003,465,6/4/2022,688-039-4206,Dacey.Walters@outlook.com,Dacey,Walters,Hattie Carthan Community Farmers Market,12/23/2017,OH,6615 Peters Rd,Produce,Fish,69000,10.99,37,Snack,Campaign 4,0,1989,Master,Divorced,10979,0,22-05-2014,0,0,2
Joy,Bell,32,Silver,2,venmo,2/10/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,2/14/2022,2/13/2022,60625,277,2/15/2022,542-843-5089,Cally.Holloway@gmail.com,Cally,Holloway,Cow-U-Met Farm,9/6/2014,CA,10600 Highland Springs Ave.,Non Perishables,Sweet,68059,3.89,37,Drink,Campaign 4,0,1963,Master,Together,38620,0,11/5/2013,0,0,1
Skye,Norling,33,Bronze,3,credit card,2/15/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,2/19/2022,2/18/2022,10003,263,2/20/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,Briers Simmental Ranch,7/26/2014,WI,W853 County Road B,Non Perishables,Sweet,68059,3.89,24,Lunch,Campaign 1,0,1970,Graduation,Together,40548,1,10/10/2012,0,0,2
Barry,Weirich,34,Bronze,3,credit card,2/7/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,2/11/2022,2/10/2022,33170,44,2/12/2022,367-246-5176,Kay.Sandoval@outlook.com,Kay,Sandoval,All Seasons Orchard,10/7/2015,AR,5909 Elm Springs Road,Beverage,Wine,68942,15.69,13,Lunch,Campaign 4,0,1952,PhD,Divorced,46610,2,29-10-2012,0,0,2
Grant,Carroll,35,Bronze,3,venmo,7/3/2022,7930 SW 104th St,FL,33156,305-969-5800,In Transit,NULL,7/6/2022,33170,290,7/8/2022,466-690-5166,Alice.Smith@outlook.com,Alice,Smith,Northfork Ranch,3/22/2015,NH,150 Arbutus Hill Rd,Beverage,Wine,68942,15.69,29,Drink,Campaign 3,1,1946,Master,Married,68657,0,20-02-2013,0,0,3
Adrian,Hane,36,Bronze,3,credit card,3/25/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,3/29/2022,3/28/2022,76110,86,3/30/2022,367-790-6730,Freya.Robbins@mail.com,Freya,Robbins,A Garden in Every Home,9/16/2014,CO,402 S Neilson Ave,Produce,Fruits,68931,8.99,39,Breakfast,Campaign 1,1,1951,Master,Single,49389,2,29-08-2013,0,0,1
Andrew,Gjertsen,37,Bronze,3,venmo,4/18/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,4/22/2022,4/21/2022,76110,471,4/23/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,Bronkberry Farms,7/29/2014,TN,1442 Globe Road,Produce,Fruits,68931,8.99,19,Lunch,Campaign 2,0,1970,PhD,Married,67353,1,31-12-2013,0,0,5
Ralph,Knight,38,Bronze,3,credit card,7/2/2022,4 Union Square S,NY,10003,212-673-5388,Out For Delivery,NULL,7/5/2022,10003,26,7/7/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,Bronkberry Farms,7/29/2014,TN,1442 Globe Road,Beverage,Wine,68942,15.69,13,Breakfast,Campaign 2,1,1976,2n Cycle,Married,23718,1,2/9/2013,0,0,3
Beth,Paige,39,Bronze,3,credit card,5/17/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,5/21/2022,5/20/2022,76110,348,5/22/2022,550-921-4404,Adele.Pennington@inbox.com,Adele,Pennington,Hawkeye Farms,3/28/2016,WA,Northwest corner of intersection at Woodcock/KItchen-Dick,Beverage,Wine,68942,15.69,42,Drink,Campaign 2,0,1973,Graduation,Widow,42429,1,11/2/2014,0,0,0
Sylvia,Foulston,40,Bronze,3,venmo,1/19/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,1/23/2022,1/22/2022,90020,157,1/24/2022,542-843-5089,Cally.Holloway@gmail.com,Cally,Holloway,Cow-U-Met Farm,9/6/2014,CA,10600 Highland Springs Ave.,Produce,Fruits,68931,8.99,17,Breakfast,Campaign 4,1,1943,PhD,Divorced,48948,0,1/2/2013,0,0,1
Beth,Paige,41,Bronze,3,credit card,4/2/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,4/6/2022,4/5/2022,90020,249,4/7/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,RB Pop Up Farm Stand,7/17/2016,NY,3275 Cold Springs Road,Beverage,Wine,68942,15.69,11,Snack,Campaign 4,1,1980,Graduation,Married,80011,1,29-04-2013,0,0,0
Sylvia,Foulston,42,Bronze,3,venmo,5/10/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,5/14/2022,5/13/2022,60625,281,5/15/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,Briers Simmental Ranch,7/26/2014,WI,W853 County Road B,Produce,Fruits,68931,8.99,29,Dinner,Campaign 4,0,1985,Master,Married,20559,1,12/3/2013,0,0,1
Bryan,Davis,43,Silver,2,credit card,6/10/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,6/14/2022,6/13/2022,76110,497,6/15/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,RB Pop Up Farm Stand,7/17/2016,NY,3275 Cold Springs Road,Beverage,Wine,68942,15.69,43,Breakfast,Campaign 2,0,1957,Graduation,Together,21994,1,24-12-2012,0,0,1
Joy,Bell,44,Silver,2,credit card,4/1/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,4/5/2022,4/4/2022,90020,172,4/6/2022,329-493-6700,Joan.Wilder@yahoo.com,Joan,Wilder,4R Angus Farm,3/23/2015,FL,124 Diamond Lake Lane,Non Perishables,Sweet,68059,3.89,46,Dinner,Campaign 5,0,1959,PhD,Single,,0,5/11/2013,0,0,1
Alan,Barnes,45,Silver,2,venmo,6/24/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,6/28/2022,6/27/2022,90020,250,6/29/2022,289-479-3701,Austin.Sexton@yahoo.com,Austin,Sexton,J&W Farm,5/4/2015,MA,1150 West Street,Non Perishables,Sweet,68059,3.89,46,Breakfast,Campaign 3,0,1975,Master,Married,7500,1,2/10/2013,0,0,2
Grant,Carroll,46,Bronze,3,credit card,5/9/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,5/13/2022,5/12/2022,10003,209,5/14/2022,697-948-0097,Constance.Terrell@gmail.com,Constance,Terrell,The Lucky Dog Farm Store and Cafe,8/27/2014,GA,596 Crump Creek Rd,Produce,Fish,69000,10.99,49,Lunch,Campaign 1,1,1976,Graduation,Single,79941,0,28-06-2014,0,0,3
Delfina,Latchford,47,Bronze,3,credit card,3/20/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,3/24/2022,3/23/2022,33170,446,3/25/2022,455-025-7864,Mary.Smith@outlook.com,Mary,Smith,Hemingway Farms,7/28/2014,WI,W7402 Fox Trail Rd.,Beverage,Wine,68942,15.69,44,Lunch,Campaign 2,1,1996,2n Cycle,Married,7500,0,9/11/2012,0,1,3
Don,Jones,48,Bronze,3,venmo,4/2/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,4/6/2022,4/5/2022,90020,483,4/7/2022,367-790-6730,Freya.Robbins@mail.com,Freya,Robbins,A Garden in Every Home,9/16/2014,CO,402 S Neilson Ave,Non Perishables,Sweet,68059,3.89,13,Lunch,Campaign 1,0,1968,Graduation,Together,41728,1,24-05-2013,0,0,1
Doug,Bickford,49,Bronze,3,credit card,5/18/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,5/22/2022,5/21/2022,10003,388,5/23/2022,683-062-9815,Frank.Livingston@outlook.com,Frank,Livingston,Glory Foods Supermarket,9/20/2014,IN,129 W 1800 S,Non Perishables,Sweet,68059,3.89,16,Dinner,Campaign 2,0,1951,Graduation,Single,,3,1/1/2014,0,0,3
Jamie,Kunitz,50,Bronze,3,venmo,2/8/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,2/12/2022,2/11/2022,76110,53,2/13/2022,829-171-9108,Mary.Olson@gmail.com,Mary,Olson,Devon Point Farm,1/27/2015,VA,221 Ligontown Road,Produce,Fish,69000,10.99,19,Drink,Campaign 2,1,1954,PhD,Married,72550,2,8/11/2012,0,0,9
Anthony,Johnson,51,Bronze,3,credit card,1/3/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,1/7/2022,1/6/2022,90020,439,1/8/2022,440-604-6440,Johnny.Smith@yahoo.com,Johnny,Smith,Family Foods Superstore,8/23/2014,IN,9240 n co rd 30 w,Produce,Fish,69000,10.99,48,Breakfast,Campaign 2,0,1957,Graduation,Widow,65486,1,12/5/2014,0,0,1
Ralph,Knight,52,Bronze,3,credit card,1/2/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,1/6/2022,1/5/2022,33170,198,1/7/2022,405-437-1466,Brynne.Giles@gmail.com,Brynne,Giles,Fruit Ridge Hayrides LLC,4/4/2015,WA,1146 NE Madison Rd,Produce,Meats,69752,5.67,15,Snack,Campaign 3,0,1964,Master,Married,79143,0,11/8/2012,0,0,3
Allen,Rosenblatt,53,Bronze,3,credit card,4/12/2022,7930 SW 104th St,FL,33156,305-969-5800,Delivered,4/16/2022,4/15/2022,33170,259,4/17/2022,683-062-9815,Frank.Livingston@outlook.com,Frank,Livingston,Glory Foods Supermarket,9/20/2014,IN,129 W 1800 S,Produce,Fruits,68931,8.99,49,Breakfast,Campaign 3,1,1977,Graduation,Single,35790,1,2/1/2013,0,0,1
Barry,Weirich,54,Bronze,3,credit card,7/9/2022,7930 SW 104th St,FL,33156,305-969-5800,In Transit,NULL,7/12/2022,33170,461,7/14/2022,367-790-6730,Freya.Robbins@mail.com,Freya,Robbins,A Garden in Every Home,9/16/2014,CO,402 S Neilson Ave,Produce,Meats,69752,5.67,14,Dinner,Campaign 2,0,1977,Graduation,Divorced,82582,0,7/6/2014,0,0,2
Carl,Jackson,55,Bronze,3,credit card,5/27/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,5/31/2022,5/30/2022,76110,311,6/1/2022,335-993-9247,Alma.Conley@gmail.com,Alma,Conley,Green River Farm Millspring,7/27/2014,MI,69676 Cr376 (40th Ave),Produce,Meats,69752,5.67,16,Breakfast,Campaign 3,0,1978,Graduation,Married,66373,2,12/6/2013,0,0,5
Brendan,Dodson,56,Bronze,3,credit card,6/11/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Delivered,6/15/2022,6/14/2022,60625,477,6/16/2022,551-153-6006,Brenda.Jordan@mail.com,Brenda,Jordan,"Green Acres produce, LLC",9/16/2014,NJ,1250 Lacey Road,Produce,Fruits,68931,8.99,27,Drink,Campaign 1,1,1955,Master,Together,82384,0,19-11-2012,0,1,1
Edward,Hooks,57,Bronze,3,credit card,4/20/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,4/24/2022,4/23/2022,10003,473,4/25/2022,289-479-3701,Austin.Sexton@yahoo.com,Austin,Sexton,J&W Farm,5/4/2015,MA,1150 West Street,Produce,Meats,69752,5.67,17,Lunch,Campaign 5,0,1966,Graduation,Divorced,70287,0,2/4/2013,0,0,15
Michelle,Lonsdale,58,Silver,2,credit card,3/28/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,4/1/2022,3/31/2022,10003,144,4/2/2022,487-492-4340,Dennis.Smith@gmail.com,Dennis,Smith,King Cole Foods,7/27/2014,VA,2122 Sheep Creek Road,Produce,Fruits,68931,8.99,33,Dinner,Campaign 2,0,1988,Graduation,Single,27938,1,28-04-2014,0,0,1
Hunter,Glantz,59,Bronze,3,credit card,6/26/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,6/30/2022,6/29/2022,10003,12,7/1/2022,440-604-6440,Johnny.Smith@yahoo.com,Johnny,Smith,Family Foods Superstore,8/23/2014,IN,9240 n co rd 30 w,Non Perishables,Sweet,68059,3.89,38,Dinner,Campaign 1,1,1982,Graduation,Single,,1,17-06-2013,0,0,2
Eugene,Barchas,60,Bronze,3,credit card,6/30/2022,7930 SW 104th St,FL,33156,305-969-5800,In Transit,NULL,7/3/2022,33170,272,7/5/2022,556-914-0518,Kellie.Farmer@outlook.com,Kellie,Farmer,Green Oak Farmers and Community Market,11/8/2014,VT,15 Higley Hill,Produce,Fish,69000,10.99,25,Breakfast,Campaign 3,0,1968,PhD,Married,55954,1,3/3/2014,0,0,1
Jim,Radford,61,Bronze,3,venmo,2/21/2022,4 Union Square S,NY,10003,212-673-5388,Delivered,2/25/2022,2/24/2022,10003,216,2/26/2022,542-843-5089,Cally.Holloway@gmail.com,Cally,Holloway,Cow-U-Met Farm,9/6/2014,CA,10600 Highland Springs Ave.,Beverage,Wine,68942,15.69,50,Lunch,Campaign 1,1,1982,Master,Single,75777,0,4/7/2013,0,0,1
Carlos,Soltero,62,Bronze,3,cash,4/20/2022,3720 Vision Dr,TX,76109,682-316-8040,Delivered,4/24/2022,4/23/2022,76110,329,4/25/2022,542-843-5089,Cally.Holloway@gmail.com,Cally,Holloway,Cow-U-Met Farm,9/6/2014,CA,10600 Highland Springs Ave.,Beverage,Wine,68942,15.69,12,Drink,Campaign 2,0,1975,Graduation,Together,66653,2,7/9/2012,0,0,2
Grant,Carroll,63,Bronze,3,debit card,6/30/2022,5118 S Lake Park Ave,IL,60615,773-819-1600,Out For Delivery,NULL,7/3/2022,60625,316,7/5/2022,241-780-6884,Frances.Smith@gmail.com,Frances,Smith,Baker U-Pick Blueberries,10/12/2014,KS,3762 51st Rd.,Produce,Meats,69752,5.67,23,Drink,Campaign 3,1,1952,Graduation,Single,61823,1,18-02-2013,0,0,3
Skye,Norling,64,Bronze,3,credit card,5/27/2022,788 S Grand Ave,CA,90017,213-873-4745,Delivered,5/31/2022,5/30/2022,90020,73,6/1/2022,697-948-0097,Constance.Terrell@gmail.com,Constance,Terrell,The Lucky Dog Farm Store and Cafe,8/27/2014,GA,596 Crump Creek Rd,Produce,Meats,69752,5.67,22,Snack,Campaign 3,0,1951,PhD,Widow,67680,1,11/6/2013,0,0,2
